pollinator,rank,notes
Platycheirus europaeus,species,
Platycheirus immarginatus,species,
Platycheirus jaerensis,species,
Calliphoridae sp2,morphospecies,
Cantharis fusca,species,
Epistrophe flava,species,
Heliophilus pendulus,species,
Sarcophagidae sp1,morphospecies,
Andrena sp2,morphospecies,
Andrena sp6,morphospecies,
Cantharis pellucida,species,
Muscidae sp4,morphospecies,
Rhagonycha limbata,species,
Scathophaga sp2,morphospecies,
Tachinidae sp1,morphospecies,
Andrena sp5,morphospecies,
Cantharis livida,species,
Eupeodes lundbecki,species,
Muscidae sp8,morphospecies,
Platycheirus manicatus,species,
Bibionidae sp3,morphospecies,
Cantharis nigricans,species,
Cheilosia albitarsis,species,
Scathophaga sp3,morphospecies,
Bibionidae sp2,morphospecies,
Dolorus nitens,species,
Heliophilus hybridus,species,
Calliphoridae sp1,morphospecies,
Heliophilus trivatlatus,species,
Sphaerophoria virgata,species,
Andrena sp7,morphospecies,
Eristalis abusiva,species,
Dolores haematodes,species,
Limonius pilosus,species,
Athous vittatus,species,
Corymbites sp1,morphospecies,
Dolichopodidae sp1,morphospecies,
Andrena sp4,morphospecies,
Cheilosia gigantea,species,
Cheilosia vicina,species,
Tachinidae sp2,morphospecies,
A_mellifera,species,
Wild_Bees,superfamily,Apoidea? 
Symphyta,genus,
B_lapidarius,species,
B_terrestris,species,
B_lucorum,species,
Syrhipds,family,
Other_Dipterans,order,
Pieris_napi,species,
Cerambycidae,family,
Elateridae,family,
Curcumelidae,family,
Chrysomelidae,family,
Bombus_lucorum,species,
Bombus_bohemicus,species,
Bombus_ruderarius,species,
Solitary_bee_spp.,subfamily,Apoidea? 
Empididae_spp.,family,
Vespidae_spp.,family,
Parasyrphus_sp,genus,
Epistrophe_eligans,species,
Platycheirus_jaerensis,species,
Chrysotoxum_fasciolatum,species,
Eristalis_interrupta,species,
Platycheirus_sp.,genus,
Epistrophella_euchroma,species,
Leucozona_lucorum,species,
Parasyrphus_vittiger,species,
Syrphus_ribestri,species,
Meliscaeva_cinctella,species,
Syrphus_torvus,species,
Dasysyrphus_hilaris,species,
Parasyrphus_lineolus,species,
Orthonevra_geniculata,species,
Chrysotoxum_arcuatum,species,
Platycheirus_nielseni_,species,
Melanogaster_sp.,genus,
Epistrophe_sp.,genus,
Syrphidae_sp.,family,
Syrphidae_spp.,family,
Other_Diptera_spp.,order,
Other_spp.,order,
Andrena_angustior,species,
Andrena_barbilabris,species,
Andrena_fucata,species,
Andrena_nigroaenea,species,
Helophilus_trivittatus,species,
hymenoptera_sp.,order,
Lasioglossum_sexnotatum,species,
Scaeva_pirastry,species,
Syritta_pipiens,species,
Volucella_bombylans,species,
Andrena_labiata,species,
Andrena_subopaca,species,
